datetime,abe,max,min,fec,vwapd,mme9,mme34,mma200,hig10,low10
2/4/19 18:05,98755,98755,98465,98465,97894.26,98628.05,98508.93,97799.73,98775,98380
2/4/19 18:00,98760,98775,98710,98760,97891.36,98668.82,98511.59,97797.27,98770,98380
2/4/19 17:55,98660,98770,98650,98770,97888.15,98646.02,98496.54,97793.27,98755,98380
2/4/19 17:50,98645,98690,98580,98660,97883.55,98615.03,98479.97,97788.98,98755,98380
2/4/19 17:45,98515,98655,98510,98650,97879.38,98603.79,98469.05,97784.85,98755,98380
2/4/19 17:40,98520,98535,98430,98515,97874.95,98592.23,98458.09,97780.38,98755,98380
2/4/19 17:35,98660,98665,98485,98520,97869.74,98611.54,98454.63,97775.95,98755,98380
2/4/19 17:30,98655,98700,98620,98660,97863.74,98634.42,98450.67,97772.25,98755,98380
2/4/19 17:25,98630,98660,98560,98655,97859.46,98628.03,98437.98,97767.42,98755,98380
2/4/19 17:20,98695,98700,98605,98630,97854.54,98621.29,98424.84,97761.73,98755,98380
2/4/19 17:15,98680,98745,98660,98695,97848.83,98619.11,98412.4,97756.27,98755,98380
2/4/19 17:10,98750,98755,98635,98685,97842.46,98600.14,98395.27,97750.42,98780,98380
2/4/19 17:05,98600,98755,98575,98750,97834.22,98578.92,98377.71,97744.52,98780,98310
2/4/19 17:00,98535,98620,98490,98595,97824.71,98536.16,98355.15,97738.42,98780,98310
2/4/19 16:55,98430,98545,98400,98540,97816.83,98521.45,98340.61,97733.23,98780,98225
2/4/19 16:50,98420,98470,98385,98430,97810.36,98516.8,98328.52,97728.33,98780,98165
2/4/19 16:45,98485,98510,98380,98420,97804.88,98538.51,98322.38,97723.88,98780,98125
2/4/19 16:40,98495,98525,98430,98485,97798.3,98568.13,98316.46,97718.83,98780,98115
2/4/19 16:35,98565,98585,98480,98490,97790.22,98588.91,98306.25,97713.98,98780,97930
2/4/19 16:30,98690,98700,98560,98570,97782.05,98613.64,98295.12,97710.02,98780,97910
2/4/19 16:25,98690,98720,98625,98690,97774.15,98624.55,98278.46,97705.25,98780,97850
2/4/19 16:20,98695,98780,98610,98690,97766.9,98608.2,98253.52,97700.45,98755,97790
